,size,avg_insert,max_insert,avg_find,max_find,collision_rate,time
320,32100.0,1.6196884735202493,35.0,1.6196884735202493,35.0,0.1442834890965732,0.20710968971252441
321,32200.0,1.6568012422360248,26.0,1.6568012422360248,26.0,0.15301242236024845,0.21061062812805176
322,32300.0,1.5986377708978328,26.0,1.5986377708978328,26.0,0.14339009287925697,0.20511269569396973
323,32400.0,2.1891975308641975,106.0,2.1891975308641975,106.0,0.1754320987654321,0.2116398811340332
324,32500.0,1.7383692307692307,44.0,1.7383692307692307,44.0,0.14915384615384616,0.20912504196166992
325,32600.0,1.6083128834355829,28.0,1.6083128834355829,28.0,0.14375766871165643,0.21337056159973145
326,32700.0,1.6029357798165138,25.0,1.6029357798165138,25.0,0.14440366972477064,0.21212363243103027
327,32800.0,1.6861280487804877,28.0,1.6861280487804877,28.0,0.1496189024390244,0.2176203727722168
328,32900.0,1.6139817629179332,25.0,1.6139817629179332,25.0,0.14617021276595746,0.21224141120910645
329,33000.0,1.7233030303030303,34.0,1.7233030303030303,34.0,0.1528787878787879,0.2171308994293213
330,33100.0,1.5718429003021148,32.0,1.5718429003021148,32.0,0.14060422960725075,0.21261048316955566
331,33200.0,1.6192168674698795,27.0,1.6192168674698795,27.0,0.14620481927710843,0.2146139144897461
332,33300.0,1.7994894894894895,25.0,1.7994894894894895,25.0,0.169009009009009,0.21410107612609863
333,33400.0,1.597874251497006,28.0,1.597874251497006,28.0,0.14345808383233533,0.21416759490966797
334,33500.0,1.608268656716418,24.0,1.608268656716418,24.0,0.14298507462686566,0.21411585807800293
335,33600.0,1.8218154761904761,55.0,1.8218154761904761,55.0,0.15861607142857143,0.21460771560668945
336,33700.0,1.5847477744807121,33.0,1.5847477744807121,33.0,0.1398813056379822,0.21569609642028809
337,33800.0,1.70698224852071,29.0,1.70698224852071,29.0,0.15078402366863905,0.2166140079498291
338,33900.0,1.6136873156342182,27.0,1.6136873156342182,27.0,0.1448230088495575,0.21773910522460938
339,34000.0,1.6957941176470588,37.0,1.6957941176470588,37.0,0.1514705882352941,0.2201218605041504
340,34100.0,1.6105571847507332,32.0,1.6105571847507332,32.0,0.14451612903225808,0.22562479972839355
341,34200.0,1.9152923976608187,37.0,1.9152923976608187,37.0,0.1730409356725146,0.22162675857543945
342,34300.0,1.7225655976676384,37.0,1.7225655976676384,37.0,0.15590379008746355,0.22957968711853027
343,34400.0,1.6707267441860465,34.0,1.6707267441860465,34.0,0.14915697674418604,0.2201852798461914
344,34500.0,1.6666956521739131,33.0,1.6666956521739131,33.0,0.1498840579710145,0.22269940376281738
345,34600.0,1.6044797687861272,27.0,1.6044797687861272,27.0,0.14309248554913295,0.22813081741333008
346,34700.0,1.59835734870317,22.0,1.59835734870317,22.0,0.14285302593659943,0.22413396835327148
347,34800.0,1.6922701149425288,33.0,1.6922701149425288,33.0,0.15094827586206896,0.22661995887756348
348,34900.0,1.5919770773638968,25.0,1.5919770773638968,25.0,0.14209169054441262,0.22612261772155762
349,35000.0,1.9712857142857143,45.0,1.9712857142857143,45.0,0.15717142857142857,0.230621337890625
350,35100.0,1.8724501424501425,26.0,1.8724501424501425,26.0,0.17232193732193732,0.22877049446105957
